# name, ra dec R:0-1 G:0-1 B:0-1 alpha size band jd count 
1_8 68.61225456763495 18.265153228501678 1 0 1 1 30 I 2458491.56799249 82873.91795331985
1_10 68.58791728147689 18.313321866312478 1 0 1 1 30 I 2458491.56799249 157532.68915795215
1_12 68.55803592095405 18.35926561721569 1 0 1 1 30 I 2458491.56799249 77123.45560573619
1_13 68.55346039624403 18.331635482718223 1 0 1 1 30 I 2458491.56799249 158897.9841438592
1_16 68.51054079293743 18.40214853315264 1 0 1 1 30 I 2458491.56799249 171511.02574085753
1_20 68.47036824520514 18.05467751795025 1 0 1 1 30 I 2458491.56799249 75230.8189558992
1_26 68.37758117268596 18.352431441497114 1 0 1 1 30 I 2458491.56799249 132262.5826232558
1_31 68.33083499396375 18.180408091219185 1 0 1 1 30 I 2458491.56799249 71214.18236500875
1_32 68.32932455066144 18.09651021849127 1 0 1 1 30 I 2458491.56799249 196899.57744189884
1_33 68.3298092509914 18.188659981952306 1 0 1 1 30 I 2458491.56799249 244034.0967481957
1_35 68.32893945956313 18.347665933432673 1 0 1 1 30 I 2458491.56799249 244276.02205921436
1_36 68.32832723959616 18.349591183710324 1 0 1 1 30 I 2458491.56799249 244276.02205921436
1_39 68.30015744938343 18.264898859087747 1 0 1 1 30 I 2458491.56799249 276991.7661986181
3_0 68.66632674234735 18.09261336375263 1 0 1 1 30 V 2458492.56429361 43361.37112777203
3_1 68.65376834987008 18.34558406602514 1 0 1 1 30 V 2458492.56429361 35379.80633450633
3_9 68.61226573038708 18.26519718552213 1 0 1 1 30 V 2458492.56429361 63714.15812848619
3_12 68.58790463051469 18.313361975077015 1 0 1 1 30 V 2458492.56429361 79443.84971879973
3_14 68.55803004295295 18.359340089852065 1 0 1 1 30 V 2458492.56429361 54134.272262899
3_24 68.4172086325567 18.073632287481935 1 0 1 1 30 V 2458492.56429361 30749.870821436918
3_26 68.37753682429052 18.352495635041173 1 0 1 1 30 V 2458492.56429361 100720.40004898133
3_27 68.37765503621927 18.408484262406116 1 0 1 1 30 V 2458492.56429361 41872.34040894704
3_31 68.33078886871722 18.180440046573292 1 0 1 1 30 V 2458492.56429361 48190.69884325714
3_34 68.32914701181362 18.287115819898947 1 0 1 1 30 V 2458492.56429361 28260.996948273176
3_41 68.29028442149963 18.029385977327085 1 0 1 1 30 V 2458492.56429361 81164.62881877628
3_42 68.26673920349607 18.112368108714545 1 0 1 1 30 V 2458492.56429361 34227.75558348612
3_46 68.22879572459001 18.400720438105697 1 0 1 1 30 V 2458492.56429361 104913.19339276866
3_47 68.22210864339604 18.040695580148697 1 0 1 1 30 V 2458492.56429361 35492.89558691089
5_1 68.65372272549052 18.34555356578974 1 0 1 1 30 R 2458492.56588635 64712.47403050639
5_3 68.63093287697784 18.217225205209033 1 0 1 1 30 R 2458492.56588635 87117.23629260478
5_7 68.61869385833188 18.376660514152608 1 0 1 1 30 R 2458492.56588635 67183.53834002248
5_9 68.611460339279 18.017663260094665 1 0 1 1 30 R 2458492.56588635 103282.31985653864
5_10 68.61221621001422 18.265188344375204 1 0 1 1 30 R 2458492.56588635 121402.24357376824
5_13 68.587867502088 18.313372393066498 1 0 1 1 30 R 2458492.56588635 193901.30293032294
5_16 68.55797392931936 18.35931504653997 1 0 1 1 30 R 2458492.56588635 108581.62674412644
5_17 68.55341018065707 18.331685466123382 1 0 1 1 30 R 2458492.56588635 239448.30658056645
5_18 68.54531406284933 18.38160597506071 1 0 1 1 30 R 2458492.56588635 66251.15327052223
5_20 68.51047613103019 18.402210405138476 1 0 1 1 30 R 2458492.56588635 260194.43905935198
5_23 68.47594437794152 18.03319390344526 1 0 1 1 30 R 2458492.56588635 129030.33293333583
5_28 68.41718734119667 18.07365694886864 1 0 1 1 30 R 2458492.56588635 67139.33704555444
5_30 68.37751773117675 18.352502222445736 1 0 1 1 30 R 2458492.56588635 190409.125646398
5_31 68.37763313358309 18.408472911146426 1 0 1 1 30 R 2458492.56588635 77793.8620287614
5_36 68.33077608678029 18.180466722762244 1 0 1 1 30 R 2458492.56588635 96971.76860341153
5_37 68.32928123791392 18.096555553688088 1 0 1 1 30 R 2458492.56588635 318695.7730016175
5_38 68.32977209933662 18.188732655414945 1 0 1 1 30 R 2458492.56588635 313694.3706926976
5_40 68.32889962194368 18.347745962639422 1 0 1 1 30 R 2458492.56588635 265033.3249072506
5_41 68.32826412435405 18.34969599059369 1 0 1 1 30 R 2458492.56588635 265033.3249072506
5_46 68.29556187213366 18.023593612713835 1 0 1 1 30 R 2458492.56588635 123493.91189727072
5_48 68.29027315361488 18.02941784618998 1 0 1 1 30 R 2458492.56588635 125946.71226813717
5_52 68.25430051061781 18.33056280002269 1 0 1 1 30 R 2458492.56588635 85215.98877765913
5_58 68.22207708119525 18.04074549919049 1 0 1 1 30 R 2458492.56588635 82178.52065398608
6_0 68.66628175109422 18.092599672293943 1 0 1 1 30 V 2458492.56343425 42008.99980011786
6_1 68.65369229922618 18.34554435629793 1 0 1 1 30 V 2458492.56343425 35280.29852175874
6_5 68.61869513140402 18.376669972809044 1 0 1 1 30 V 2458492.56343425 38718.967230639406
6_7 68.61221133336694 18.265206762197813 1 0 1 1 30 V 2458492.56343425 63607.13207662556
6_8 68.58783091319668 18.313362936782205 1 0 1 1 30 V 2458492.56343425 78748.65672592458
6_10 68.55795699710235 18.359304735827557 1 0 1 1 30 V 2458492.56343425 54232.29377929821
6_12 68.54529169634822 18.381618281677515 1 0 1 1 30 V 2458492.56343425 35185.11831990015
6_14 68.48874784384164 18.18726278372189 1 0 1 1 30 V 2458492.56343425 28056.615919535907
6_20 68.37749532016959 18.352494547916468 1 0 1 1 30 V 2458492.56343425 100541.46150849128
6_23 68.34415416646674 18.02141804482099 1 0 1 1 30 V 2458492.56343425 41506.98737061139
7_3 68.63086954788518 18.217196826303596 1 0 1 1 30 I 2458492.569831 64886.86614817021
7_9 68.61217332612044 18.265170848141278 1 0 1 1 30 I 2458492.569831 81949.25901212974
7_11 68.58783490445724 18.313336699242686 1 0 1 1 30 I 2458492.569831 154551.11677752982
7_13 68.55796729277063 18.359287184856434 1 0 1 1 30 I 2458492.569831 77339.18082266883
7_14 68.55337612326822 18.331664489791443 1 0 1 1 30 I 2458492.569831 156028.2093907536
7_17 68.51046039868892 18.40216602336242 1 0 1 1 30 I 2458492.569831 170180.63816735474
7_19 68.47590005879505 18.03322435537861 1 0 1 1 30 I 2458492.569831 88896.9990456686
7_20 68.47029938313572 18.054734678134675 1 0 1 1 30 I 2458492.569831 75088.9613537502
7_27 68.37751755230157 18.35248709443357 1 0 1 1 30 I 2458492.569831 129901.93622399053
7_33 68.32926854312618 18.096583566150194 1 0 1 1 30 I 2458492.569831 194530.05539517524
7_34 68.32976491196254 18.188746445049993 1 0 1 1 30 I 2458492.569831 241867.7574834999
7_36 68.32889280719716 18.34772354594254 1 0 1 1 30 I 2458492.569831 240185.98356210947
7_37 68.32826925951281 18.349666491323568 1 0 1 1 30 I 2458492.569831 240185.98356210947
7_40 68.30010275673848 18.264970938708192 1 0 1 1 30 I 2458492.569831 275679.0646182124
7_43 68.29025199598617 18.029443282422108 1 0 1 1 30 I 2458492.569831 78938.61043026531
7_45 68.22989478813427 18.11961450132909 1 0 1 1 30 I 2458492.569831 128329.53541302381
7_46 68.22638099388355 18.088160517725715 1 0 1 1 30 I 2458492.569831 194858.12278326732
7_47 68.22882438775656 18.400704613295343 1 0 1 1 30 I 2458492.569831 131961.5813039607
8_3 68.63093134337332 18.217271599221412 1 0 1 1 30 I 2458492.56903694 63100.3631295026
8_9 68.61221715546498 18.26524022921016 1 0 1 1 30 I 2458492.56903694 80924.86230141105
8_10 68.58785237257119 18.313398572235858 1 0 1 1 30 I 2458492.56903694 149305.65488931566
8_13 68.5533797371311 18.331720391798584 1 0 1 1 30 I 2458492.56903694 152675.2613641733
8_16 68.51045332573453 18.40221843583288 1 0 1 1 30 I 2458492.56903694 167163.54990456515
8_19 68.47596591174396 18.033214444902313 1 0 1 1 30 I 2458492.56903694 85101.92471770546
8_20 68.47035112972245 18.054721295274803 1 0 1 1 30 I 2458492.56903694 70197.89448781875
8_27 68.37749535996933 18.352493631725732 1 0 1 1 30 I 2458492.56903694 128489.6307751521
8_32 68.33078867195835 18.180474646233503 1 0 1 1 30 I 2458492.56903694 66688.30820092288
